reviewer,datasetId,taskId,taskName,view,analytical_scope,analysis_type,viz_type,availability_status,degraded,safety_flags_count,auto_faithfulness_pass,readiness_rate,summary_preview,understandability_1_5,relevance_1_5,actionability_1_5,trustworthiness_1_5,usefulness_1_5,cognitive_load_1_5,overall_1_5,comment
,SAMPLE_UCI_POR,S-B02,Risk status card,student,single student,aggregation,card,executable,FALSE,0,TRUE,100,"Your current risk status is low, with an average score of 41.25, which is above the passing threshold of 40. However, there are areas for improvement, particularly in engagement and punctuality.",,,,,,,,
,SAMPLE_UCI_POR,A-B01,Overall performance distribution,admin,cohort,distribution,bar_chart,executable,FALSE,0,FALSE,85.71,"The overall performance distribution indicates that a significant majority of students are clustered in the lower to mid-range score buckets, with a notable tail extending towards higher scores. Specifically, 28.8% of students scored between 50-60, while only a small fraction achieved scores above 80.",,,,,,,,
,SAMPLE_UCI_POR,S-T01,Score trend analysis,student,single student,trend,line_chart,executable,FALSE,0,TRUE,100,"Your performance shows a slight improvement over time, moving from a score of 0 in Assessment 1 to scores of 55 in both Assessments 2 and 3. However, you are still below the target threshold, indicating room for further growth.",,,,,,,,
,SAMPLE_UCI_POR,A-B02,Completion / outcome summary,admin,cohort,aggregation,pie_chart,executable,FALSE,0,FALSE,85.71,"The distribution of final outcomes reveals that a significant majority of students passed, with 84.6% achieving a passing status. Conversely, a smaller segment of the cohort, 15.4%, did not pass, indicating a notable proportion at risk of not succeeding in this course.",,,,,,,,
,SAMPLE_UCI_POR,A-G05,Submission behaviour analysis,admin,many students,comparison,bar_chart,partial,FALSE,0,FALSE,85.71,"The analysis of submission behavior indicates that late submissions are not a systemic problem in this class, as evidenced by a late submission rate of 0% across all assessments. However, the overall average scores for failed assessments suggest a need for targeted interventions to improve student engagement and performance.",,,,,,,,
,SAMPLE_UCI_POR,S-T03,Peer comparison,student,single student,comparison,card,executable,FALSE,0,TRUE,100,"You are currently performing at the same average level as your peers, with both you and the cohort achieving a score of approximately 36.67. However, your engagement score is notably low, which could be an area for improvement.",,,,,,,,
,SAMPLE_UCI_POR,A-B03,Engagement distribution,admin,cohort,distribution,bar_chart,insufficient_data,FALSE,0,FALSE,85.71,"The engagement distribution reveals that a significant proportion of students are categorized as having very low to low study effort, with no students achieving a positive engagement score. This indicates a concerning trend of disengagement across the cohort.",,,,,,,,
,SAMPLE_UCI_POR,S-T09,Lifestyle risk vs performance,student,single student,correlation,card,executable,FALSE,0,TRUE,100,"Currently, we don't have a Lifestyle Risk Score to analyze alongside your Average Score. However, your Average Score of 36.67 suggests that your academic performance is at a certain level. Understanding your lifestyle habits can help you identify areas for improvement.",,,,,,,,
,SAMPLE_UCI_POR,S-T13,Action plan generation,student,single student,synthesis,table,executable,FALSE,0,TRUE,100,"Your current average score is slightly above the pass threshold, but there are areas where you can improve to enhance your overall performance. Focusing on engagement and maintaining consistent attendance can significantly boost your success.",,,,,,,,
,SAMPLE_UCI_POR,S-T15,Family context vs performance,student,single student,correlation,card,executable,FALSE,0,TRUE,100,"Currently, there is no Family Stability Score available to analyze its relationship with your Average Score. This means we can't determine any correlation patterns at this time. However, understanding how family stability might influence academic performance can still be valuable.",,,,,,,,
,SAMPLE_UCI_POR,S-T16,Grade goal calculator,student,single student,projection,card,executable,FALSE,0,TRUE,100,"You've successfully achieved your passing goal with a current score of 41.25, which is above the pass threshold of 40. However, you have not set a target goal yet since there are no remaining assessments to complete.",,,,,,,,
,SAMPLE_UCI_POR,A-B04,At-risk overview,admin,cohort,aggregation,bar_chart,insufficient_data,FALSE,0,FALSE,85.71,"A total of 14 students are classified as high risk, while 36 students fall into the medium risk category. The majority, 599 students, are considered low risk. Immediate attention is warranted for the high-risk group to prevent further academic decline.",,,,,,,,
,SAMPLE_UCI_POR,A-G12,Background group pass/fail/withdrawal rate,admin,many students,segmentation,bar_chart,executable,FALSE,0,FALSE,85.71,"The GP group exhibits a significantly lower failure rate compared to the MS group. While the GP group has a failure rate of 7.6%, the MS group shows a considerably higher failure rate of 30.1%. This indicates that the MS group is performing worse in terms of final outcomes.",,,,,,,,
,SAMPLE_UCI_POR,A-G13,Lifestyle risk across cohort,admin,many students,correlation,scatter_plot,executable,FALSE,0,FALSE,85.71,"The analysis of the correlation between Lifestyle Risk Score and Average Score indicates a negative relationship, suggesting that as the Lifestyle Risk Score increases, the Average Score tends to decrease. This correlation appears to be moderate in strength.",,,,,,,,
,SAMPLE_UCI_POR,S-T02,Competency gap analysis,student,single student,distribution,bar_chart,executable,FALSE,0,FALSE,85.71,"The distribution of scores shows a clear gap in competency area G1, where students scored significantly lower than in G2 and G3. Most students are performing well in G2 and G3, but G1 stands out as an area needing urgent attention.",,,,,,,,
,SAMPLE_UCI_POR,S-T07,Absence / inactivity impact,student,single student,correlation,bar_chart,executable,FALSE,0,FALSE,85.71,"Your absences may be impacting your grades, as there is a noticeable relationship between the number of assessments and your normalized scores. While the scores have improved over time, the initial absence could have set a challenging tone for your learning.",,,,,,,,
,SAMPLE_UCI_POR,S-T14,Social balance vs performance,student,single student,correlation,card,executable,FALSE,0,FALSE,85.71,"Currently, there's no available data for the Social Balance Score, which makes it difficult to analyze its relationship with your Average Score. However, your Average Score of 36.67 suggests that you are performing at a certain level academically. Understanding how your social balance might impact this score could be beneficial.",,,,,,,,
